flag,h5ad,Z_values,3D_forward,x_shift,y_shift
s150,path/s150.fu100.h5ad,150,"[[0.9279753510437413, 0.37264158095312605, 614.6817222303955], [-0.37264158095312605, 0.9279753510437413, 1707.2015866173485], [0.0, 0.0, 1.0]]",4450,10800
s151,path/s151.fu100.h5ad,151,"[[0.9784184771887792, 0.20663321005005492, 655.6948217719446], [-0.20663321005005492, 0.9784184771887792, 1589.1329431497793], [0.0, 0.0, 1.0]]",4802,6850
s152,path/s152.fu100.h5ad,152,"[[0.9376529711834914, 0.3475728781576208, 755.3191094676235], [-0.3475728781576208, 0.9376529711834914, 1714.6359806483026], [0.0, 0.0, 1.0]]",2650,13100
s153,path/s153.fu100.h5ad,153,"[[0.921883648152591, 0.3874668234428203, 718.5309906541975], [-0.3874668234428203, 0.921883648152591, 1744.2898934159268], [0.0, 0.0, 1.0]]",3150,9050
s154,path/s154.fu100.h5ad,154,"[[0.9185869753700732, 0.3952188870492663, 665.5672074756578], [-0.3952188870492663, 0.9185869753700732, 1731.582618320471], [0.0, 0.0, 1.0]]",3550,5500
s155,path/s155.fu100.h5ad,155,"[[1.0, 0.0, 987.0], [0.0, 1.0, 1564.0], [0.0, 0.0, 1.0]]",5602,13050
s156,path/s156.fu100.h5ad,156,"[[1.0, 0.0, 982.0], [0.0, 1.0, 1606.0], [0.0, 0.0, 1.0]]",6250,9350
s157,path/s157.fu100.h5ad,157,"[[1.0, 0.0, 904.0], [0.0, 1.0, 1582.0], [0.0, 0.0, 1.0]]",6200,5900
s158,path/s158.fu100.h5ad,158,"[[0.9830847441304778, 0.18315126496399567, 886.457451035187], [-0.18315126496399567, 0.9830847441304778, 1667.2985785652975], [0.0, 0.0, 1.0]]",8250,12750
s159,path/s159.fu100.h5ad,159,"[[0.5718601279035433, 0.8203511407404411, 738.6393334822392], [-0.8203511407404411, 0.5718601279035433, 2181.4812269114454], [0.0, 0.0, 1.0]]",9500,8300
s163,path/s163.fu100.h5ad,163,"[[-0.9218241618995191, 0.3876083261982998, 1660.4427301130386], [-0.3876083261982998, -0.9218241618995191, 2639.9348277989748], [0.0, 0.0, 1.0]]",8500,13900
